Year,Economic activity,Gender,Economically active population,Monthly average wage,Paid employment workers,Sector GDP,Bachelors,Diploma,Master,Doctorate,Pre-University Diploma
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,27787,9656,27506,47434.0,0.0,0.0,0.0,0.0,0.0
2017,Transportation and storage,F,10413,15439,10413,22426.0,0.0,0.0,0.0,0.0,0.0
2017,Accommodation and food service activities,F,18220,8883,18220,5456.0,0.0,0.0,0.0,0.0,0.0
2017,Information and communication,F,3006,22438,3006,9580.0,0.0,0.0,9.0,1.0,0.0
2017,Financial and insurance activities,F,5733,23027,5677,48339.0,597.0,0.0,12.0,0.0,0.0
2017,Real estate activities,F,711,18993,669,43284.0,0.0,0.0,0.0,0.0,0.0
2017,"Professional, scientific and technical activities",F,3565,12935,3523,10698.5,0.0,0.0,0.0,0.0,0.0
2017,Administrative and support service activities,F,6922,8116,6922,10698.5,0.0,0.0,0.0,0.0,0.0
2017,Public administration and defence; compulsory social security,F,14943,24647,14943,39466.0,108.0,0.0,25.0,0.0,0.0
2017,Education,F,33993,23089,33578,12571.0,401.0,465.0,39.0,0.0,0.0
2017,Human health and social work activities,F,16362,19819,16264,14542.0,96.0,0.0,28.0,0.0,0.0
2017,"Arts, entertainment and recreation",F,1130,21604,1130,4434.5,794.0,0.0,0.0,0.0,0.0
2017,Other service activities,F,5096,7571,4967,4434.5,0.0,0.0,0.0,0.0,0.0
2017,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,108942,3014,108942,4006.0,0.0,0.0,0.0,0.0,0.0
2017,"Agriculture, forestry and fishing",M,25544,5250,25431,1259.0,0.0,0.0,0.0,0.0,0.0
2017,Mining and quarrying,M,92733,26272,92533,199405.0,0.0,0.0,0.0,0.0,0.0
2017,Manufacturing,M,141938,8680,141767,47189.0,0.0,0.0,0.0,0.0,0.0
2017,"Electricity, gas, steam and air conditioning supply",M,15612,22702,15612,3392.5,0.0,0.0,0.0,0.0,0.0
2017,"Water supply; sewerage, waste management and remediation activities",M,8250,17781,8250,3392.5,0.0,0.0,0.0,0.0,0.0
2017,Construction,M,841297,6296,839755,79040.0,0.0,0.0,0.0,0.0,0.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,227325,7547,224383,47434.0,0.0,0.0,0.0,0.0,0.0
